---config@初始化排序数值=10000
---config@码表分类=主码-用户码表
---config@码表别名=扩展码表
期期艾艾	aaaa
工期	aaad
黄花菜	aaae
工巧	aaag
斯蒂芬	aaaw
式子	aabb
芙蓉出水	aabi
工薪阶层	aabn
茕茕孑立	aabu
落落难合	aacw
花花太岁	aadm
落花有意	aadu
茫茫无际	aafb
工运	aafc
落花无言	aafy
甘苦与共	aaga
工致	aagc
攻其一点	aagh
工残	aagq
芽尖	aaid
黄花晚节	aaja
工蚁	aajy
工架	aalk
工力	aalt
工贼	aama
黄花岗	aamm
戒网	aamq
节节败退	aamv
戒惧	aanh
草草收兵	aanr
工料	aaou
落落寡欢	aapc
菠萝蜜	aapn
落落寡合	aapw
葫芦岛	aaqy
匿报	aarb
戒掉	aarh
AA制	aarm
芽接	aaru
工模	aasa
花草树木	aass
工长	aata
工行	aatf
警匪片	aath
戒条	aats
切切私语	aaty
工间	aauj
工单	aauj
工部	aauk
黄花闺女	aauv
戒刀	aavn
芙蓉姐姐	aavv
或其他	aawb
工伤	aawt
茹苦含辛	aawu
工细	aaxl
落英缤纷	aaxx
花落谁家	aayp
落草为寇	aayp
萨斯	abad
菡萏	abaq
荫翳	abat
荫蔽	abau
节用	abet
蒸腾	abeu
节下	abgh
萨满	abia
节略	ablt
节煤	aboa
蒸烤	abof
攻子之盾	abpr
萨尔	abqi
蒸锅	abqk
萨拉	abru
荫棚	abse
节本	absg
节选	abtf
萨特	abtr
荫凉	abuy
蒸好	abvb
节妇	abvv
萨姆	abvx
欧阳修	abwh
节假	abwn
节庆	abyd
荫庇	abyx
斯巴达克	acdd
斯巴达	acdp
茎干	acfg
戎马一生	acgt
其观点	achk
七台河	acis
雅马哈	ackw
节能灯	acos
茎杆	acsf
匹马单枪	acus
斯基	adad
菲菲	adad
欺世	adan
欺蒙	adap
茏葱	adaq
苦药	adax
苦了	adbn
苦参	adcd
苦劝	adcl
荣辱观	adcm
若有	adde
藏在	addh
蒙太奇	adds
甚受	adep
若需	adfd
英雄无用武之地	adff
苦干	adfg
基址	adfh
期考	adft
若夫	adfw
甚于	adgf
若不	adgi
若再	adgm
惹来	adgo
苦熬	adgq
藉此	adhx
莽汉	adic
期日	adjj
欺哄	adka
苦味	adkf
期中	adkh
苦思	adln
苦累	adlx
基岩	admd
藉由	admh
蔚成风气	admr
欺罔	admu
期内	admw
莱布尼茨	adna
苦情	adng
蕨类	adod
藕粉	adow
苦寒	adpf
匪军	adpl
欺客	adpt
基色	adqc
其解	adqe
其外	adqh
苦乐	adqi
其名	adqk
茂名	adqk
藏独	adqt
惹急	adqv
基质	adrf
惹气	adrn
其所	adrn
若失	adrw
若想	adsh
戎机	adsm
勘校	adsu
苦短	adtd
苦处	adth
惹得	adtj
其奈我何	adtw
苦辣	adug
基站	aduh
其间	aduj
匪首	adut
基准	aduw
项背	adux
惹怒	advc
匪巢	advj
藏娇	advt
蒙大拿	adwg
苦大仇深	adwi
期价	adww
苦经	adxc
荐引	adxh
期约	adxq
期终	adxt
藕丝	adxx
苦度	adya
甚为	adyl
期房	adyn
苦恋	adyo
基底	adyq
期许	adyt
若说	adyu
基座	adyw
基础设施	adyy
散工	aeaa
菜式	aeaa
藤萝	aeal
藤子	aebb
散出	aebm
散了	aebn
散戏	aeca
散在	aedh
散成	aedn
散股	aeem
散去	aefc
菜干	aefg
菜青	aege
菜豆	aegk
散灭	aego
黄脸婆	aeih
散水	aeii
七月流火	aeio
散酒	aeis
菜田	aell
散曲	aema
散见	aemq
菜籽	aeob
菜窖	aepw
散钱	aeqg
菜金	aeqq
散摊	aerc
敬爱的	aerq
散打	aers
菜梗	aesg
散板	aesr
菜根	aesv
藤牌	aeth
散养	aeud
散闷	aeun
散体	aews
散结	aexf
藤编	aexy
散席	aeya
散剂	aeyj
散户	aeyn
散放	aeyt
菜谱	aeyu
散座	aeyw
落地式	afaa
贰臣	afah
勒出	afbm
甘孜	afbt
花鼓戏	afca
靶台	afck
鞍马	afcn
著有	afde
落地有声	afdf
鞋面	afdm
甘受	afep
巨无霸	affa
匹夫无罪	affl
甘南	affm
萧规曹随	afgb
某天	afgd
攻无不克	afgd
某一	afgg
鞋带	afgk
勒死	afgq
芜湖	afid
车	afk
鞋跟	afkh
攻城略地	aflf
某甲	aflh
某男	afll
攻击力	afln
恭喜发财	afnm
革履	afnt
鞋类	afod
鞋业	afog
落地灯	afos
鞣料	afou
鞋粉	afow
某家	afpe
黄埔军校	afps
落地窗	afpw
斯坦福	afpy
鞋印	afqg
墓志铭	afqq
某年	afrh
莱索托	afrt
鞋柜	afsa
东走西顾	afsd
靶标	afsf
甘醇	afsg
靶机	afsm
甘甜	aftd
鞭毛	aftf
某处	afth
苇箔	afti
某物	aftr
落地生根	afts
劳动生产率	afty
甘美	afug
某部	afuk
某次	afuq
蒜瓣	afur
劳动关系	afut
鞭痕	afuv
某女	afvv
七零八落	afwa
劳动保障	afwb
七零八碎	afwd
劳动合同法	afwi
劳动合同	afwm
荒无人烟	afwo
某件	afwr
著作	afwt
某位	afwu
勒令	afwy
蕾丝	afxx
苇席	afya
鞋店	afyh
甘为	afyl
著文	afyy
花开花落	agaa
芋艿	agae
莱芜	agaf
七七	agag
巧匠	agar
莱切	agav
荆花	agaw
甚于防川	agbk
七大	agdd
艺不压身	agdt
匡助	ageg
邪不胜正	ageg
颟顸	agfd
七十	agfg
惹不起	agfh
匡救	agfi
七喜	agfk
东正教	agft
七天	aggd
巧事	aggk
七点	aghk
巧学	agip
七星	agjt
巧思	agln
荆轲	agls
七情	agng
莱塞	agpf
七色	agqc
戈尔	agqi
七夕	agqt
匡扶	agrf
七年	agrh
七折	agrr
熙来攘往	agrt
莱西	agsg
功不可没	agsi
擎天柱	agsy
功到自然成	agtd
匡复	agtj
匡衡	agtq
莱特	agtr
芋头	agud
荆门	aguy
七青八黄	agwa
七个	agwh
七死八活	agwi
七八	agwt
菁华	agwx
葬仪	agwy
匡谬	agyn
区政府	agyw
巧言	agyy
牙牙	ahah
雅苑	ahaq
雅芳	ahay
臣子	ahbb
邪祟	ahbm
牙慧	ahdh
苫布	ahdm
卧龙	ahdx
卧地	ahfb
雅士	ahfg
雅皮士	ahfg
世上无难事	ahfg
邪教	ahft
雅静	ahge
雅正	ahgh
雅丽	ahgm
邪毒	ahgx
牙龈	ahhw
牙尖	ahid
邪淫	ahie
雅洁	ahif
雅淡	ahio
蒿目时艰	ahjc
牙口	ahkk
雅思	ahln
卧轨	ahlv
牙雕	ahmf
欺上罔下	ahmg
牙粉	ahow
雅安	ahpv
牙色	ahqc
雅乐	ahqi
牙质	ahrf
熙攘	ahry
雅相	ahsh
雅歌	ahsk
工具栏	ahsu
邪术	ahsy
基督徒	ahtf
项目管理	ahtg
雅虎知识堂	ahti
熙和	ahtk
卧射	ahtm
工具箱	ahts
牙科	ahtu
雅意	ahuj
卧姿	ahuq
雅阁	ahut
臣僚	ahwd
牙祭	ahwf
雅人	ahww
项目组	ahxe
牙线	ahxg
项目经理	ahxg
卧房	ahyn
牙床	ahys
雅言	ahyy
薄葬	aiag
落落	aiai
菠萝	aial
落英	aiam
东莞	aiap
东营	aiap
薄荷	aiaw
落荒	aiay
荡除	aibw
莫泊桑	aicc
落汤鸡	aicq
落套	aidd
落雁	aidw
落脚	aief
荒淫无耻	aifb
东城	aifd
鸦雀无声	aiff
落雨	aifg
荡起	aifh
落进	aifj
落霞	aifn
薄霜	aifs
薄雾	aift
薄型	aiga
藩王	aigg
落下	aigh
东晋	aigo
荡平	aigu
落满	aiia
菏泽	aiic
落汗	aiif
东海	aiit
东洋	aiiu
落果	aijs
落照	aijv
东吴	aikg
萍踪	aikh
藩国	ailg
东岸	aimd
落网	aimq
落败	aimt
薄层	ainf
薄壁	aink
落发	aint
薄烟	aiol
荧光灯	aios
落定	aipg
落案	aipv
藩镇	aiqf
落锁	aiqi
落水狗	aiqt
落拓	aird
东游西荡	aisa
范本	aisg
燕雀相贺	aisl
蒲柳	aisq
落榜	aisu
落槌	aisw
东升	aita
荡舟	aite
东航	aite
东征	aitg
落得	aitj
东向	aitm
东魏	aitv
落第	aitx
东站	aiuh
薄冰	aiui
落单	aiuj
东端	aium
黄粱美梦	aius
荡妇	aivv
落伍	aiwg
东侧	aiwm
落体	aiws
落价	aiww
薄绒	aixa
东线	aixg
薄纱	aixi
东郭	aiyb
莫测高深	aiyi
落户	aiyn
东床	aiys
东施	aiyt
范文	aiyy
草茎	ajac
草莽	ajad
葛藤	ajae
划落	ajai
草黄	ajam
墓茔	ajap
草菇	ajav
草芥	ajaw
草荒	ajay
茧子	ajbb
基里巴斯	ajca
划破	ajdh
莫非	ajdj
草灰	ajdo
墓碑	ajdr
草原	ajdr
莫须	ajed
募股	ajem
莫及	ajey
墓地	ajfb
蓦地	ajfb
幕墙	ajff
草垛	ajfm
莫过	ajfp
蒙昧无知	ajft
划开	ajga
划到	ajgc
蓝靛	ajge
草皮	ajhc
划上	ajhh
蓝紫	ajhx
草滩	ajic
草尖	ajid
划水	ajii
草堂	ajip
蓝光	ajiq
黄晓明	ajje
昔时	ajjf
曹	ajjf
昔日	ajjj
遭	ajjp
草果	ajjs
暮景	ajjy
草叶	ajkf
墓园	ajlf
划转	ajlf
蓝田	ajll
草贼	ajma
草炭	ajmd
莫怪	ajnc
草屋	ajng
节日快乐	ajnq
草籽	ajob
草类	ajod
暮烟	ajol
草字	ajpb
幕宾	ajpr
慕容	ajpw
暮色	ajqc
莫尔	ajqi
莫负	ajqm
草包	ajqn
蓝鸟	ajqy
暮年	ajrh
草垫	ajrv
草标	ajsf
草本	ajsg
苹果机	ajsm
蓝筹	ajtd
萌生	ajtg
划算	ajth
草种	ajtk
莫向	ajtm
莫愁	ajto
幕前	ajue
草间	ajuj
莫道	ajut
划痕	ajuv
鹊巢	ajvj
划付	ajwf
草体	ajws
划伤	ajwt
募化	ajwx
蓝领	ajwy
摹绘	ajxw
茧丝	ajxx
草编	ajxy
蓝调	ajym
莫忘	ajyn
葛麻	ajys
堇菜	akae
黄口孺子	akbb
或有	akde
翘足而待	akdt
或用	aket
勤于	akgf
勤王	akgg
或不	akgi
叵测	akim
或少	akit
萍踪浪迹	akiy
或曰	akjh
或则	akmj
觐见	akmq
茶叶蛋	aknh
堇色	akqc
或然	akqd
匮缺	akrm
惑乱	aktd
萼片	akth
藏器待时	aktj
